moin,7617261100,dvb@gmail.com,1,5 star,5,25,125,Sat Jun  3 23:30:41 2023
fbhj,85120,dsjch@gmail.com,1,5 star,5,0,0,Sat Jun  3 23:31:37 2023
bvfudcsc,sfcdscvs,ddsvc,2,Milky Bar,5,100,500,Sat Jun  3 23:43:45 2023
1,m3,10511,1801,1002,Milky Bar,10,10,100,Mon Jun  5 11:46:17 2023
m4,879894,498494@gmsil.com,1005,Vanilla Cake,2,300,600,Mon Jun  5 11:52:14 2023
rclk,hhbdhfb509,0fvv98f8,1004,Choclate Cake,1,350,350,Mon Jun  5 11:53:21 2023
manish,7984984,manish@yahoo.com,1003,Candy,110,2,220,Mon Jun  5 11:56:04 2023
sandy,709808,s@gmail.com,1005,Vanilla Cake,4,300,1200,Mon Jun  5 12:00:35 2023
jvnji,dcdfv,fdvfd,1002,Milky Bar,100,10,1000,Mon Jun  5 12:02:40 2023
mk4,15019191,09191,1001,5 star,71,5,355,Mon Jun  5 12:05:16 2023
mk6,1404144,160,1005,Vanilla Cake,4,300,1200,Mon Jun  5 12:07:31 2023
mkf,498489,0882,1004,Choclate Cake,10,350,3500,Mon Jun  5 12:08:38 2023
mkff,014,01,1003,Candy,90,2,180,Mon Jun  5 12:09:36 2023
moin05,7617261100,moinkhatriu489u9@gmail.com,1004,Choclate Cake,4,350,1400,Mon Jun  5 13:42:47 2023
